date,cumulative_gains
2015-05-19,-451063.4029
2015-05-20,-418614.6082
2015-05-21,-418614.6082
2015-05-22,-418614.6082
2015-05-25,-418614.6082
2015-05-26,-418614.6082
2015-05-27,-418614.6082
2015-05-28,-418614.6082
2015-05-29,-418614.6082
2015-06-01,-418614.6082
2015-06-02,-418614.6082
2015-06-03,-418614.6082
2015-06-04,-418614.6082
2015-06-05,-418614.6082
2015-06-08,-418614.6082
2015-06-09,-418614.6082
2015-06-10,-418614.6082
2015-06-11,-418614.6082
2015-06-12,-418614.6082
2015-06-15,-413965.3180999999
2015-06-16,-368089.63010000007
2015-06-17,-368089.63010000007
2015-06-18,-368089.63010000007
2015-06-19,-348470.72109999985
2015-06-22,-348470.72109999985
2015-06-23,-334787.45779999974
2015-06-24,-281362.41209999996
2015-06-25,-281362.41209999996
2015-06-26,-281362.41209999996
2015-06-29,-333701.51639999996
2015-06-30,-333701.51639999996
2015-07-01,-333701.51639999996
2015-07-02,-333701.51639999996
2015-07-03,-333701.51639999996
2015-07-06,-333701.51639999996
2015-07-07,-333701.51639999996
2015-07-08,-333701.51639999996
2015-07-09,-333701.51639999996
2015-07-10,-333701.51639999996
2015-07-13,-333701.51639999996
2015-07-14,-333701.51639999996
2015-07-15,-333701.51639999996
2015-07-16,-333701.51639999996
2015-07-17,-333701.51639999996
2015-07-21,-333701.51639999996
2015-07-22,-333701.51639999996
2015-07-23,-333701.51639999996
2015-07-24,-333701.51639999996
2015-07-27,-333701.51639999996
2015-07-28,-333701.51639999996
2015-07-29,-333701.51639999996
2015-07-30,-292536.9452000001
2015-07-31,-292536.9452000001
2015-08-03,-292536.9452000001
2015-08-04,-292536.9452000001
2015-08-05,-292536.9452000001
2015-08-06,-292536.9452000001
2015-08-07,-292536.9452000001
2015-08-10,-292536.9452000001
2015-08-11,-292536.9452000001
2015-08-12,-292536.9452000001
2015-08-13,-292536.9452000001
2015-08-14,-292536.9452000001
2015-08-17,-292536.9452000001
2015-08-18,-292536.9452000001
2015-08-19,-292536.9452000001
2015-08-20,-292536.9452000001
2015-08-21,-292536.9452000001
2015-08-24,-292536.9452000001
2015-08-25,-301768.59530000004
2015-08-26,-301768.59530000004
2015-08-27,-301768.59530000004
2015-08-28,-301768.59530000004
2015-08-31,-301768.59530000004
2015-09-01,-301768.59530000004
2015-09-02,-301768.59530000004
2015-09-03,-290239.9133
2015-09-04,-290239.9133
2015-09-07,-290239.9133
2015-09-08,-290239.9133
2015-09-09,-277696.7069
2015-09-10,-277696.7069
2015-09-11,-277696.7069
2015-09-14,-277696.7069
2015-09-15,-264398.89639999997
2015-09-16,-264398.89639999997
2015-09-17,-264398.89639999997
2015-09-18,-264398.89639999997
2015-09-24,-264398.89639999997
2015-09-25,-264398.89639999997
2015-09-28,-264398.89639999997
2015-09-29,-264398.89639999997
2015-09-30,-264398.89639999997
2015-10-01,-253613.8608
2015-10-02,-253613.8608
2015-10-05,-253613.8608
2015-10-06,-253613.8608
2015-10-07,-253613.8608
2015-10-08,-253613.8608
2015-10-09,-880417.4823
2015-10-13,-880417.4823
2015-10-14,-880417.4823
2015-10-15,-886609.8963
2015-10-16,-889943.7855
2015-10-19,-889943.7855
2015-10-20,-889943.7855
2015-10-21,-889943.7855
2015-10-22,-889943.7855
2015-10-23,-889943.7855
2015-10-26,-889943.7855
2015-10-27,-889943.7855
2015-10-28,-889943.7855
2015-10-29,-895696.7487
2015-10-30,-895696.7487
2015-11-02,-895696.7487
2015-11-04,-895696.7487
2015-11-05,-895696.7487
2015-11-06,-895696.7487
2015-11-09,-895696.7487
2015-11-10,-895696.7487
2015-11-11,-895696.7487
2015-11-12,-895696.7487
2015-11-13,-895696.7487
2015-11-16,-895696.7487
2015-11-17,-895696.7487
2015-11-18,-895696.7487
2015-11-19,-895696.7487
2015-11-20,-895696.7487
2015-11-24,-885556.471
2015-11-25,-885556.471
2015-11-26,-885556.471
2015-11-27,-885556.471
2015-11-30,-837158.2295
2015-12-01,-837158.2295
2015-12-02,-837158.2295
2015-12-03,-837158.2295
2015-12-04,-837158.2295
2015-12-07,-837158.2295
2015-12-08,-844920.2201
2015-12-09,-844920.2201
2015-12-10,-857543.5490000001
2015-12-11,-857543.5490000001
2015-12-14,-857543.5490000001
2015-12-15,-857543.5490000001
2015-12-16,-828803.9955000001
2015-12-17,-673692.0919000001
2015-12-18,-673692.0919000001
2015-12-21,-673692.0919000001
2015-12-22,-673692.0919000001
2015-12-24,-673692.0919000001
2015-12-25,-673692.0919000001
2015-12-28,-673692.0919000001
2015-12-29,-673692.0919000001
2015-12-30,-673692.0919000001
2016-01-04,-673692.0919000001
2016-01-05,-673692.0919000001
2016-01-06,-673692.0919000001
2016-01-07,-697550.3794000001
2016-01-08,-697550.3794000001
2016-01-12,-697550.3794000001
2016-01-13,-697550.3794000001
2016-01-14,-697550.3794000001
2016-01-15,-697550.3794000001
2016-01-18,-697550.3794000001
2016-01-19,-697550.3794000001
2016-01-20,-697550.3794000001
2016-01-21,-697550.3794000001
2016-01-22,-697550.3794000001
2016-01-25,-697550.3794000001
2016-01-26,-697550.3794000001
2016-01-27,-697550.3794000001
2016-01-28,-697550.3794000001
2016-01-29,-697550.3794000001
2016-02-01,-697550.3794000001
2016-02-02,-697550.3794000001
2016-02-03,-727168.2034000001
2016-02-04,-727168.2034000001
2016-02-05,-727168.2034000001
2016-02-08,-727168.2034000001
2016-02-09,-727168.2034000001
2016-02-10,-727168.2034000001
2016-02-12,-727168.2034000001
2016-02-15,-727168.2034000001
2016-02-16,-727168.2034000001
2016-02-17,-727168.2034000001
2016-02-18,-727168.2034000001
2016-02-19,-727168.2034000001
2016-02-22,-727168.2034000001
2016-02-23,-727168.2034000001
2016-02-24,-727168.2034000001
2016-02-25,-727168.2034000001
2016-02-26,-727168.2034000001
2016-02-29,-727168.2034000001
2016-03-01,-727168.2034000001
2016-03-02,-705767.0866000002
2016-03-03,-705767.0866000002
2016-03-04,-705767.0866000002
2016-03-07,-705767.0866000002
2016-03-08,-705767.0866000002
2016-03-09,-705767.0866000002
2016-03-10,-705767.0866000002
2016-03-11,-705767.0866000002
2016-03-14,-705767.0866000002
2016-03-15,-705767.0866000002
2016-03-16,-705767.0866000002
2016-03-17,-705767.0866000002
2016-03-18,-705767.0866000002
2016-03-22,-705767.0866000002
2016-03-23,-705767.0866000002
2016-03-24,-705767.0866000002
2016-03-25,-705767.0866000002
2016-03-28,-705767.0866000002
2016-03-29,-708171.4956000001
2016-03-30,-708171.4956000001
2016-03-31,-708171.4956000001
2016-04-01,-806756.0082000002
2016-04-04,-806756.0082000002
2016-04-05,-806756.0082000002
2016-04-06,-806756.0082000002
2016-04-07,-806756.0082000002
2016-04-08,-806756.0082000002
2016-04-11,-806756.0082000002
2016-04-12,-806756.0082000002
2016-04-13,-806756.0082000002
2016-04-14,-806756.0082000002
2016-04-15,-806756.0082000002
2016-04-18,-806756.0082000002
2016-04-19,-806756.0082000002
2016-04-20,-806756.0082000002
2016-04-21,-806756.0082000002
2016-04-22,-806756.0082000002
2016-04-25,-806756.0082000002
2016-04-26,-806756.0082000002
2016-04-27,-806756.0082000002
2016-04-28,-808514.9658000001
